16.35614,48.17663,36.19
16.35591,48.17639,73.97
16.35543,48.17591,27.72
16.35526,48.17572,63.14
16.35486,48.1753,16.17
16.35476,48.17519,61.59
16.35438,48.17477,204.82
16.35308,48.17341,146.34
16.35214,48.17245,55.44
16.35179,48.17208,26.2
16.35162,48.17191,64.68
16.35121,48.17148,25.41
16.35105,48.17131,37.79
16.35083,48.17104,50.28
16.35055,48.17067,45.9
16.35031,48.17032,61.43
16.35002,48.16983,38.11
16.34982,48.16954,60.52
16.34953,48.16906,43.75
16.34931,48.16872,53.69
16.34903,48.16831,33.86
16.34887,48.16804,45.54
16.34865,48.16768,56.96
16.34836,48.16724,70.71
16.34802,48.16668,52.44
16.34776,48.16627,51.83
16.34751,48.16586,9.31
16.34746,48.16579,53.94
16.34719,48.16537,40.75
16.34699,48.16505,61.74
16.34668,48.16457,53.33
16.34642,48.16415,58.73
16.34613,48.16369,39.86
16.34593,48.16338,83.29
16.34553,48.16272,93.8
16.34506,48.16199,76.44
16.34467,48.1614,80.76
16.34424,48.16079,62.14
16.34391,48.16032,68.22
16.34354,48.15981,16.25
16.34345,48.15969,13.89
16.34337,48.15959,30.98
16.3432,48.15936,55.02
16.3429,48.15895,42.5
16.34266,48.15864,37.24
16.34246,48.15836,85.83
16.34198,48.15773,41.37
16.34177,48.15741,52.65
16.34148,48.15702,36.39
16.34128,48.15675,55.02
16.34098,48.15634,23.88
16.34083,48.15615,108.09
16.34018,48.15528,104.79,NCE
16.33957,48.15443,54.06
16.33926,48.15399,177.79
16.338250,48.152540,100.0
16.33769,48.15197,29.36
16.33745,48.15176,33.01
16.33721,48.15151,37.02
16.33694,48.15123,0
